model,sequence_length,batch_size,latency_s,tokens_per_sec
gpt2-medium,16,1,0.3311182975769043,48.32109888546373
gpt2-medium,16,2,0.37874956130981446,84.48854670441249
gpt2-medium,16,4,0.44029635190963745,145.35664382051203
gpt2-medium,16,8,0.584146237373352,219.12321232361188
gpt2-medium,32,1,0.3679719567298889,86.96314872573214
gpt2-medium,32,2,0.43062756061553953,148.62030639311226
gpt2-medium,32,4,0.5750125527381897,222.6038360214372
gpt2-medium,32,8,0.9089725017547607,281.63668263428764
gpt2-medium,64,1,0.43550719022750856,146.95509382191017
gpt2-medium,64,2,0.5780924320220947,221.41787871581727
gpt2-medium,64,4,0.9807756423950196,261.01790147934037
gpt2-medium,64,8,1.84540935754776,277.4452171849623
gpt2-medium,128,1,0.6099900364875793,209.83949301376228
gpt2-medium,128,2,0.9225976705551148,277.4773968873867
gpt2-medium,128,4,1.9974598646163941,256.3255508006555
gpt2-medium,128,8,3.9257598638534548,260.8412219576926
gpt2-medium,256,1,1.0534563064575195,243.00960412953128
gpt2-medium,256,2,1.9889504551887511,257.4221990619727
gpt2-medium,256,4,3.9243308782577513,260.93620333426514
gpt2-medium,256,8,7.7144884943962095,265.4745031362304
